model_name,dataset,pred_len,MSE,MAE
TiDE,weather,96,0.166,0.222
TiDE,weather,192,0.209,0.263
TiDE,weather,336,0.254,0.301
TiDE,weather,720,0.313,0.34
TiDE,weather,Avg,0.236,0.282
TiDE,h1,96,0.375,0.398
TiDE,h1,192,0.412,0.422
TiDE,h1,336,0.435,0.433
TiDE,h1,720,0.454,0.465
TiDE,h1,Avg,0.419,0.43
TiDE,h2,96,0.27,0.336
TiDE,h2,192,0.332,0.38
TiDE,h2,336,0.36,0.407
TiDE,h2,720,0.419,0.451
TiDE,h2,Avg,0.345,0.394
TiDE,m1,96,0.306,0.349
TiDE,m1,192,0.335,0.366
TiDE,m1,336,0.364,0.384
TiDE,m1,720,0.413,0.413
TiDE,m1,Avg,0.355,0.378
TiDE,m2,96,0.161,0.251
TiDE,m2,192,0.215,0.289
TiDE,m2,336,0.267,0.326
TiDE,m2,720,0.352,0.383
TiDE,m2,Avg,0.249,0.312
TiDE,ecl,96,0.132,0.229
TiDE,ecl,192,0.147,0.243
TiDE,ecl,336,0.161,0.261
TiDE,ecl,720,0.196,0.294
TiDE,ecl,Avg,0.159,0.257
TiDE,traffic,96,0.336,0.253
TiDE,traffic,192,0.346,0.257
TiDE,traffic,336,0.355,0.26
TiDE,traffic,720,0.386,0.273
TiDE,traffic,Avg,0.356,0.261
GPT2(6),weather,96,0.162,0.212
GPT2(6),weather,192,0.204,0.248
GPT2(6),weather,336,0.254,0.286
GPT2(6),weather,720,0.326,0.337
GPT2(6),weather,Avg,0.237,0.27
GPT2(6),h1,96,0.376,0.397
GPT2(6),h1,192,0.416,0.418
GPT2(6),h1,336,0.442,0.433
GPT2(6),h1,720,0.477,0.456
GPT2(6),h1,Avg,0.427,0.426
GPT2(6),h2,96,0.285,0.342
GPT2(6),h2,192,0.354,0.389
GPT2(6),h2,336,0.373,0.407
GPT2(6),h2,720,0.406,0.441
GPT2(6),h2,Avg,0.354,0.394
GPT2(6),m1,96,0.292,0.346
GPT2(6),m1,192,0.332,0.372
GPT2(6),m1,336,0.366,0.394
GPT2(6),m1,720,0.417,0.421
GPT2(6),m1,Avg,0.352,0.383
GPT2(6),m2,96,0.173,0.262
