,Methods,,TiDE,,GPT2(6),,GPT2(0),,DLinear,,PatchTST,,TimesNet,,N-HiTS,,T5,,Bert,
,Metric,,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE,MSE,MAE
,,336,0.482,0.465,0.576,0.511,,,,,,,,,,,,,,
,,720,0.643,0.553,0.665,0.563,,,,,,,,,,,,,,
,,Avg,0.498,0.473,0.562,0.502,,,,,,,,,,,,,,
h2,,96,0.330,0.383,0.377,0.404,,,,,,,,,,,,,,
,,192,0.396,0.418,0.415,0.433,,,,,,,,,,,,,,
,,336,0.430,0.443,0.414,0.437,,,,,,,,,,,,,,
,,720,0.440,0.463,0.461,0.470,,,,,,,,,,,,,,
,,Avg,0.399,0.427,0.417,0.436,,,,,,,,,,,,,,
m1,,96,0.291,0.346,0.291,0.344,,,,,,,,,,,,,,
,,192,0.342,0.379,0.339,0.374,,,,,,,,,,,,,,
,,336,0.374,0.399,0.374,0.395,,,,,,,,,,,,,,
,,720,0.427,0.428,0.421,0.426,,,,,,,,,,,,,,
,,Avg,0.358,0.388,0.356,0.385,,,,,,,,,,,,,,
m2,,96,0.186,0.277,0.177,0.263,,,,,,,,,,,,,,
,,192,0.249,0.319,0.243,0.305,,,,,,,,,,,,,,
,,336,0.308,0.358,0.299,0.346,,,,,,,,,,,,,,
,,720,0.391,0.408,0.401,0.410,,,,,,,,,,,,,,
,,Avg,0.284,0.340,0.280,0.331,,,,,,,,,,,,,,
ecl,,96,0.123,0.224,0.130,0.222,,,,,,,,,,,,,,
,,192,0.149,0.240,0.1486,0.240,,,,,,,,,,,,,,
,,336,0.166,0.258,0.165,0.256,,,,,,,,,,,,,,
,,720,0.204,0.291,0.210,0.293,,,,,,,,,,,,,,
,,Avg,0.161,0.253,0.163,0.253,,,,,,,,,,,,,,
traffic,,96,0.365,0.252,0.366,0.253,,,,,,,,,,,,,,
,,192,0.385,0.259,0.387,0.261,,,,,,,,,,,,,,
,,336,0.398,0.267,0.402,0.271,,,,,,,,,,,,,,
,,720,0.433,0.288,0.434,0.290,,,,,,,,,,,,,,
,,Avg,0.395,0.267,0.397,0.268,,,,,,,,,,,,,,
